time (since java epoch),time since bag start (ms),Manager centralmanager-vm1,Manager centralmanager-vm5,Manager centralmanager-vm9
1554991400184,1918183,0.010101010101010102,0.010101010101010102,0.010101010101010102
1554991400854,1918853,0.010101010101010102,0.010101010101010102,0.0
1554991400888,1918887,0.0297029702970297,0.010101010101010102,0.0
1554991401184,1919183,0.0297029702970297,0.02,0.0
1554991401854,1919853,0.0297029702970297,0.02,0.0
1554991401888,1919887,0.0,0.02,0.0
1554991402195,1920194,0.0,0.0196078431372549,0.0
1554991402855,1920854,0.0,0.0196078431372549,0.010101010101010102
1554991402888,1920887,0.0297029702970297,0.0196078431372549,0.010101010101010102
1554991403185,1921184,0.0297029702970297,0.010101010101010102,0.010101010101010102
1554991403854,1921853,0.0297029702970297,0.010101010101010102,0.0
1554991403889,1921888,0.02,0.010101010101010102,0.0
1554991404184,1922183,0.02,0.0,0.0
1554991404855,1922854,0.02,0.0,0.0
1554991404888,1922887,0.02,0.0,0.0
1554991405185,1923184,0.02,0.010101010101010102,0.0
1554991405854,1923853,0.02,0.010101010101010102,0.01
1554991405888,1923887,0.02,0.010101010101010102,0.01
1554991406185,1924184,0.02,0.02,0.01
1554991406854,1924853,0.02,0.02,0.0
1554991406888,1924887,0.0297029702970297,0.02,0.0
1554991407185,1925184,0.0297029702970297,0.01,0.0
1554991407854,1925853,0.0297029702970297,0.01,0.010101010101010102
1554991407888,1925887,0.010101010101010102,0.01,0.010101010101010102
1554991408184,1926183,0.010101010101010102,0.02,0.010101010101010102
1554991408855,1926854,0.010101010101010102,0.02,0.0
1554991408888,1926887,0.02,0.02,0.0
1554991409185,1927184,0.02,0.01,0.0
1554991409855,1927854,0.02,0.01,0.010101010101010102
1554991409889,1927888,0.02,0.01,0.010101010101010102
1554991410184,1928183,0.02,0.02,0.010101010101010102
1554991410855,1928854,0.02,0.02,0.01
1554991410888,1928887,0.0297029702970297,0.02,0.01
1554991411185,1929184,0.0297029702970297,0.01,0.01
1554991411854,1929853,0.0297029702970297,0.01,0.010101010101010102
1554991411888,1929887,0.02,0.01,0.010101010101010102
1554991412184,1930183,0.02,0.02,0.010101010101010102
1554991412854,1930853,0.02,0.02,0.0
1554991412888,1930887,0.02,0.02,0.0
1554991413184,1931183,0.02,0.019801980198019802,0.0
1554991413854,1931853,0.02,0.019801980198019802,0.0
1554991413888,1931887,0.02,0.019801980198019802,0.0
1554991414184,1932183,0.02,0.0,0.0
1554991414854,1932853,0.02,0.0,0.01
1554991414888,1932887,0.01,0.0,0.01
1554991415184,1933183,0.01,0.02,0.01
1554991415854,1933853,0.01,0.02,0.010101010101010102
1554991415888,1933887,0.02,0.02,0.010101010101010102
1554991416184,1934183,0.02,0.01,0.010101010101010102
1554991416854,1934853,0.02,0.01,0.0
1554991416888,1934887,0.0,0.01,0.0
1554991417184,1935183,0.0,0.010101010101010102,0.0
1554991417855,1935854,0.0,0.010101010101010102,0.01
1554991417888,1935887,0.02,0.010101010101010102,0.01
1554991418184,1936183,0.02,0.01,0.01
1554991418854,1936853,0.02,0.01,0.0
1554991418888,1936887,0.02,0.01,0.0
1554991419184,1937183,0.02,0.0,0.0
1554991419855,1937854,0.02,0.0,0.010101010101010102
1554991419888,1937887,0.02,0.0,0.010101010101010102
1554991420184,1938183,0.02,0.019801980198019802,0.010101010101010102
1554991420854,1938853,0.02,0.019801980198019802,0.0
1554991420888,1938887,0.02,0.019801980198019802,0.0
1554991421185,1939184,0.02,0.019801980198019802,0.0
1554991421854,1939853,0.02,0.019801980198019802,0.0
1554991421889,1939888,0.02,0.019801980198019802,0.0
1554991422185,1940184,0.02,0.02,0.0
1554991422854,1940853,0.02,0.02,0.01
1554991422888,1940887,0.0297029702970297,0.02,0.01
